representation,fold,n_train,n_test,R2_train,R2_test,MAE_train,MAE_test,RMSE_train,RMSE_test
oliynyk,1,4640,1160,0.18998516622117945,0.10017999201505201,1.562279317582275,1.643337029788279,2.097712021321701,2.1695189325244084
oliynyk,2,4640,1160,0.18257265626596875,0.11758565486757366,1.540026561784875,1.7319143909907309,2.070620868476726,2.296091879817013
oliynyk,3,4640,1160,0.19369045062157852,0.05993698564374783,1.564761795399644,1.643320850678814,2.1031441843791647,2.171447195085322
oliynyk,4,4640,1160,0.19268175542748012,0.0644849771170376,1.5521795653734476,1.6768668401471178,2.082798962738061,2.261541388425576
oliynyk,5,4640,1160,0.1978012017463886,0.03959587389779995,1.5410398087197021,1.7322563161907287,2.085868277215563,2.248739997471153
magpie,1,4640,1160,0.18993287793897495,0.09528302666249677,1.5618203861703572,1.6509871601092048,2.097779726247291,2.1754143581032293
magpie,2,4640,1160,0.18234784309377483,0.11805497936335374,1.5407241980190158,1.7316646849606698,2.0709055854289793,2.295481194205643
magpie,3,4640,1160,0.19332790281176604,0.04846076547036027,1.565930560463074,1.6478600130396455,2.1036169585304627,2.184661421713141
magpie,4,4640,1160,0.19222824661505977,0.06278365168842148,1.5537896143321255,1.6805408636606354,2.0833838839111043,2.263596871260998
magpie,5,4640,1160,0.19767431917944944,0.03358860614420023,1.5412038683823919,1.7340548322277363,2.086033230003752,2.2557618982344723
mat2vec,1,4640,1160,0.18963108505937343,0.09929254991978331,1.562814431324606,1.6471445887177776,2.0981704568501924,2.170588506402873
mat2vec,2,4640,1160,0.18286616437985537,0.11968399626809312,1.5395948418211431,1.7285535664958473,2.070249093177813,2.293360253611372
mat2vec,3,4640,1160,0.1934173296030085,0.056332298116843926,1.566011982338724,1.6459850259268671,2.103500352954767,2.175606437225693
mat2vec,4,4640,1160,0.1925315529451248,0.06156359502091113,1.552753372760478,1.679862460537323,2.082992707290952,2.2650697532976594
mat2vec,5,4640,1160,0.1975797643275421,0.032728947649821816,1.542338351303432,1.7364337582348415,2.0861561468920113,2.256764966822581
dummy,1,4640,1160,0.1950059714488349,0.10904912259425148,1.555282869158377,1.6413015360178065,2.09120067452058,2.1588004577085718
dummy,2,4640,1160,0.18895050175359274,0.1134345821725824,1.5341687616536763,1.7309989713935854,2.0625272069008167,2.301486205836681
dummy,3,4640,1160,0.19865246186583352,0.06562698425864266,1.5594121314245508,1.6363090518596322,2.096662845945245,2.1648655699801473
dummy,4,4640,1160,0.19840807648899572,0.07065985221958293,1.548411854524628,1.6689744498475299,2.0753991546763633,2.25406536974846
dummy,5,4640,1160,0.20432021712139936,0.04827842086108425,1.5352786005288463,1.727418455191519,2.077375653167352,2.238552036358303
