Perovskite_composition_long_form,Perovskite_deposition_solvents,Perovskite_deposition_solvents_mixing_ratios,Perovskite_deposition_thermal_annealing_temperature,Perovskite_deposition_thermal_annealing_time,Encapsulation,TS80,TS80m,lnTS80m
(CH3NH3)PbI3,DMSO; GBL,,100,10,FALSE,220,63.8391695,4.156366944
(CH3NH3)PbI3,DMSO; GBL,,100,10,FALSE,350,101.5623151,4.620672552
Cs0.05((NH2)2CH)0.788(CH3NH3)0.162PbBr0.51I2.49,DMF; DMSO,4; 1,120,15,FALSE,200,342.1965429,5.835385259
Cs0.05((NH2)2CH)0.788((NH2)3C)0.097(CH3NH3)0.065PbBr0.51I2.49,DMF; DMSO,7; 1,120,15,FALSE,6.39917,10.94886926,2.393236187
((NH2)2CH)0.85(CH3NH3)0.15PbBr0.45I2.55,DMF; DMSO,4; 1,Unknown,Unknown,FALSE,1524.89,442.4895963,6.092416953
Cs0.05((NH2)2CH)0.827(CH3NH3)0.123PbBr0.369I2.631,DMF; DMSO,4; 1,120; 100,10.0; 40.0,FALSE,150,256.6474072,5.547703186
Cs0.05((NH2)2CH)0.827(CH3NH3)0.123PbBr0.369I2.631,DMF; DMSO,4; 1,150; 100,20.0; 30.0,FALSE,961.122,1644.463129,7.405169244
(CH3NH3)PbI3,DMSO,1,100,10,FALSE,450,9715.039731,9.181430452
(CH3NH3)PbI3,DMSO,1,100,10,FALSE,2175.17,46959.69549,10.75704497
CsPbBr0.45I2.55,DMF; DMSO >> DMSO; Methanol,9; 1 >> nan,Unknown >> 280,Unknown >> 30.0,FALSE,8.70069,14.88673019,2.700470225
CsSnI3,IPA >> Ethanol,1 >> 1,100; 500 >> 110,Unknown; 20.0 >> 20.0,FALSE,1124.43,383.8645848,5.950289847
CsSnBr0.6I2.4,IPA >> Ethanol,1 >> 1,100; 500 >> 110,Unknown; 20.0 >> 20.0,FALSE,2676.17,4578.880611,8.429209839
(CH3NH3)PbI3,DMSO; GBL,,100,15,FALSE,0.4,0.684393086,-0.37922284
