2theta (deg),intensity (cps)
5.0,173.333
5.05,163.333
5.1,190.0
5.15,185.0
5.2,186.667
5.25,198.333
5.3,146.667
5.35,160.0
5.4,198.333
5.45,173.333
5.5,166.667
5.55,183.333
5.6,178.333
5.65,190.0
5.7,170.0
5.75,173.333
5.8,166.667
5.85,165.0
5.9,178.333
5.95,185.0
6.0,173.333
6.05,156.667
6.1,186.667
6.15,180.0
6.2,168.333
6.25,146.667
6.3,165.0
6.35,171.667
6.4,175.0
6.45,171.667
6.5,168.333
6.55,166.667
6.6,150.0
6.65,160.0
6.7,130.0
6.75,173.333
6.8,146.667
6.85,148.333
6.9,186.667
6.95,130.0
7.0,151.667
7.05,148.333
7.1,156.667
7.15,155.0
7.2,166.667
7.25,155.0
7.3,143.333
7.35,138.333
7.4,161.667
7.45,180.0
7.5,125.0
7.55,140.0
7.6,143.333
7.65,123.333
7.7,120.0
7.75,150.0
7.8,143.333
7.85,151.667
7.9,126.667
7.95,151.667
8.0,118.333
8.05,138.333
8.1,138.333
8.15,121.667
8.2,141.667
8.25,126.667
8.3,156.667
8.35,131.667
8.4,121.667
8.45,158.333
8.5,135.0
8.55,140.0
8.6,148.333
8.65,130.0
8.7,123.333
8.75,131.667
8.8,121.667
8.85,110.0
8.9,141.667
8.95,133.333
9.0,101.667
9.05,131.667
9.1,141.667
9.15,131.667
9.2,140.0
9.25,121.667
9.3,118.333
9.35,140.0
9.4,105.0
9.45,140.0
9.5,118.333
9.55,121.667
9.6,100.0
9.65,118.333
9.7,121.667
9.75,111.667
9.8,133.333
9.85,110.0
9.9,110.0
9.95,100.0
10.0,150.0
10.05,106.667
10.1,121.667
10.15,116.667
10.2,103.333
10.25,103.333
10.3,96.6667
10.35,103.333
10.4,91.6667
10.45,113.333
10.5,128.333
10.55,111.667
10.6,106.667
10.65,118.333
10.7,100.0
10.75,111.667
10.8,113.333
10.85,88.3333
10.9,90.0
10.95,88.3333
11.0,115.0
11.05,95.0
11.1,121.667
11.15,93.3333
11.2,101.667
11.25,105.0
11.3,90.0
11.35,105.0
11.4,101.667
11.45,111.667
11.5,98.3333
11.55,118.333
11.6,105.0
11.65,83.3333
11.7,103.333
11.75,101.667
11.8,83.3333
11.85,113.333
11.9,115.0
11.95,75.0
12.0,86.6667
12.05,90.0
12.1,63.3333
12.15,113.333
12.2,95.0
12.25,106.667
12.3,101.667
12.35,100.0
12.4,100.0
12.45,78.3333
12.5,105.0
12.55,110.0
12.6,120.0
12.65,96.6667
12.7,101.667
12.75,105.0
12.8,106.667
12.85,91.6667
12.9,85.0
12.95,143.333
13.0,111.667
13.05,126.667
13.1,86.6667
13.15,113.333
13.2,108.333
13.25,140.0
13.3,186.667
13.35,191.667
13.4,191.667
13.45,211.667
13.5,250.0
13.55,276.667
13.6,285.0
13.65,383.333
13.7,413.333
13.75,565.0
13.8,788.333
13.85,791.667
13.9,996.667
13.95,1240.0
14.0,1448.33
14.05,1471.67
14.1,1560.0
14.15,1353.33
14.2,1140.0
14.25,871.667
14.3,643.333
14.35,390.0
14.4,253.333
14.45,130.0
14.5,111.667
14.55,90.0
14.6,106.667
14.65,95.0
14.7,91.6667
14.75,105.0
14.8,105.0
14.85,91.6667
14.9,96.6667
14.95,78.3333
15.0,78.3333
15.05,83.3333
15.1,93.3333
15.15,80.0
15.2,68.3333
15.25,81.6667
15.3,100.0
15.35,83.3333
15.4,96.6667
15.45,80.0
15.5,81.6667
15.55,93.3333
15.6,98.3333
15.65,71.6667
15.7,80.0
15.75,93.3333
15.8,68.3333
15.85,80.0
15.9,90.0
15.95,110.0
16.0,58.3333
16.05,98.3333
16.1,100.0
16.15,98.3333
16.2,91.6667
16.25,101.667
16.3,81.6667
16.35,88.3333
16.4,96.6667
16.45,75.0
16.5,93.3333
16.55,85.0
16.6,100.0
16.65,98.3333
16.7,68.3333
16.75,73.3333
16.8,111.667
16.85,75.0
16.9,73.3333
16.95,80.0
17.0,86.6667
17.05,118.333
17.1,71.6667
17.15,91.6667
17.2,73.3333
17.25,93.3333
17.3,81.6667
17.35,90.0
17.4,61.6667
17.45,88.3333
17.5,70.0
17.55,76.6667
17.6,70.0
17.65,56.6667
17.7,76.6667
17.75,71.6667
17.8,86.6667
17.85,91.6667
17.9,111.667
17.95,91.6667
18.0,80.0
18.05,85.0
18.1,86.6667
18.15,83.3333
18.2,76.6667
18.25,80.0
18.3,76.6667
18.35,96.6667
18.4,71.6667
18.45,113.333
18.5,86.6667
18.55,96.6667
18.6,96.6667
18.65,101.667
18.7,98.3333
18.75,88.3333
18.8,73.3333
18.85,93.3333
18.9,91.6667
18.95,85.0
19.0,95.0
19.05,108.333
19.1,91.6667
19.15,86.6667
19.2,83.3333
19.25,63.3333
19.3,95.0
19.35,121.667
19.4,85.0
19.45,90.0
19.5,100.0
19.55,106.667
19.6,143.333
19.65,141.667
19.7,145.0
19.75,175.0
19.8,195.0
19.85,263.333
19.9,278.333
19.95,310.0
20.0,313.333
20.05,283.333
20.1,221.667
20.15,210.0
20.2,140.0
20.25,146.667
20.3,120.0
20.35,103.333
20.4,81.6667
20.45,111.667
20.5,96.6667
20.55,101.667
20.6,86.6667
20.65,100.0
20.7,103.333
20.75,91.6667
20.8,88.3333
20.85,63.3333
20.9,95.0
20.95,68.3333
21.0,96.6667
21.05,110.0
21.1,95.0
21.15,86.6667
21.2,96.6667
21.25,81.6667
21.3,100.0
21.35,101.667
21.4,81.6667
21.45,100.0
21.5,75.0
21.55,141.667
21.6,81.6667
21.65,73.3333
21.7,76.6667
21.75,120.0
21.8,101.667
21.85,106.667
21.9,101.667
21.95,103.333
22.0,95.0
22.05,110.0
22.1,101.667
22.15,96.6667
22.2,95.0
22.25,100.0
22.3,90.0
22.35,88.3333
22.4,96.6667
22.45,106.667
22.5,100.0
22.55,101.667
22.6,85.0
22.65,111.667
22.7,90.0
22.75,93.3333
22.8,98.3333
22.85,106.667
22.9,110.0
22.95,88.3333
23.0,116.667
23.05,115.0
23.1,123.333
23.15,133.333
23.2,146.667
23.25,181.667
23.3,246.667
23.35,241.667
23.4,313.333
23.45,328.333
23.5,356.667
23.55,303.333
23.6,350.0
23.65,250.0
23.7,203.333
23.75,150.0
23.8,143.333
23.85,86.6667
23.9,93.3333
23.95,128.333
24.0,145.0
24.05,126.667
24.1,143.333
24.15,150.0
24.2,183.333
24.25,211.667
24.3,268.333
24.35,358.333
24.4,338.333
24.45,420.0
24.5,393.333
24.55,446.667
24.6,375.0
24.65,311.667
24.7,228.333
24.75,211.667
24.8,136.667
24.85,128.333
24.9,88.3333
24.95,131.667
25.0,108.333
25.05,91.6667
25.1,118.333
25.15,115.0
25.2,120.0
25.25,83.3333
25.3,113.333
25.35,116.667
25.4,93.3333
25.45,85.0
25.5,101.667
25.55,100.0
25.6,126.667
25.65,110.0
25.7,73.3333
25.75,90.0
25.8,98.3333
25.85,85.0
25.9,98.3333
25.95,110.0
26.0,83.3333
26.05,123.333
26.1,93.3333
26.15,103.333
26.2,95.0
26.25,93.3333
26.3,98.3333
26.35,103.333
26.4,90.0
26.45,91.6667
26.5,100.0
26.55,106.667
26.6,83.3333
26.65,86.6667
26.7,85.0
26.75,115.0
26.8,101.667
26.85,66.6667
26.9,126.667
26.95,93.3333
27.0,126.667
27.05,93.3333
27.1,120.0
27.15,91.6667
27.2,83.3333
27.25,100.0
27.3,108.333
27.35,100.0
27.4,105.0
27.45,108.333
27.5,113.333
27.55,105.0
27.6,118.333
27.65,133.333
27.7,123.333
27.75,116.667
27.8,161.667
27.85,171.667
27.9,175.0
27.95,278.333
28.0,285.0
28.05,435.0
28.1,460.0
28.15,530.0
28.2,603.333
28.25,818.333
28.3,911.667
28.35,915.0
28.4,1075.0
28.45,1108.33
28.5,1108.33
28.55,1005.0
28.6,680.0
28.65,535.0
28.7,328.333
28.75,206.667
28.8,133.333
28.85,126.667
28.9,120.0
28.95,103.333
29.0,83.3333
29.05,93.3333
29.1,93.3333
29.15,80.0
29.2,88.3333
29.25,105.0
29.3,116.667
29.35,86.6667
29.4,90.0
29.45,115.0
29.5,101.667
29.55,103.333
29.6,86.6667
29.65,95.0
29.7,105.0
29.75,85.0
29.8,83.3333
29.85,93.3333
29.9,95.0
29.95,93.3333
30.0,101.667
30.05,68.3333
30.1,113.333
30.15,105.0
30.2,85.0
30.25,76.6667
30.3,85.0
30.35,76.6667
30.4,91.6667
30.45,98.3333
30.5,85.0
30.55,91.6667
30.6,116.667
30.65,105.0
30.7,138.333
30.75,143.333
30.8,160.0
30.85,186.667
30.9,170.0
30.95,185.0
31.0,206.667
31.05,183.333
31.1,131.667
31.15,106.667
31.2,130.0
31.25,140.0
31.3,151.667
31.35,161.667
31.4,221.667
31.45,268.333
31.5,401.667
31.55,516.667
31.6,610.0
31.65,828.333
31.7,965.0
31.75,1033.33
31.8,1166.67
31.85,1228.33
31.9,1146.67
31.95,1101.67
32.0,966.667
32.05,696.667
32.1,448.333
32.15,245.0
32.2,203.333
32.25,131.667
32.3,113.333
32.35,106.667
32.4,126.667
32.45,108.333
32.5,98.3333
32.55,78.3333
32.6,101.667
32.65,88.3333
32.7,80.0
32.75,93.3333
32.8,71.6667
32.85,80.0
32.9,78.3333
32.95,88.3333
