Sample	
Comments	
Filename	C:\Windmax\Data\í©ì˙å§\ê[‡V\20230928\MAPbI3_010_9.raw
Goniometer	UltimaáV ≤›Ãﬂ⁄∞›(D/teX)
Attachment	îññåééóøë‰
ScanningMode	2Theta
ScanningType	Continuos Scanning
X-Ray	40kV/40mA
±Ø√»∞¿	äJï˙
î≠éUΩÿØƒ	0.10mm
éUóêΩÿØƒ	äJï˙
éÛåıΩÿØƒ	äJï˙
î≠éUècêßå¿ΩÿØƒ	10mm
áAì¸éÀÉ\Å[ÉâÅ[	V5
áDéÛåıÉ\Å[ÉâÅ[âE	
áDéÛåıÉ\Å[ÉâÅ[ç∂	PB0.5
Start	5
Stop	45
Step	0.05
5	208.333
5.05	153.333
5.1	188.333
5.15	195
5.2	168.333
5.25	173.333
5.3	181.667
5.35	146.667
5.4	173.333
5.45	188.333
5.5	196.667
5.55	200
5.6	168.333
5.65	155
5.7	158.333
5.75	160
5.8	143.333
5.85	211.667
5.9	145
5.95	173.333
6	168.333
6.05	155
6.1	165
6.15	168.333
6.2	170
6.25	153.333
6.3	136.667
6.35	158.333
6.4	146.667
6.45	165
6.5	155
6.55	186.667
6.6	146.667
6.65	161.667
6.7	145
6.75	133.333
6.8	166.667
6.85	158.333
6.9	163.333
6.95	148.333
7	156.667
7.05	158.333
7.1	163.333
7.15	165
7.2	138.333
7.25	118.333
7.3	158.333
7.35	150
7.4	145
7.45	158.333
7.5	145
7.55	143.333
7.6	143.333
7.65	153.333
7.7	170
7.75	140
7.8	136.667
7.85	141.667
7.9	151.667
7.95	158.333
8	158.333
8.05	118.333
8.1	131.667
8.15	160
8.2	120
8.25	133.333
8.3	135
8.35	148.333
8.4	146.667
8.45	120
8.5	140
8.55	161.667
8.6	181.667
8.65	153.333
8.7	148.333
8.75	120
8.8	116.667
8.85	130
8.9	136.667
8.95	108.333
9	106.667
9.05	125
9.1	121.667
9.15	110
9.2	175
9.25	110
9.3	105
9.35	111.667
9.4	121.667
9.45	108.333
9.5	126.667
9.55	123.333
9.6	103.333
9.65	123.333
9.7	125
9.75	100
9.8	121.667
9.85	130
9.9	133.333
9.95	116.667
10	135
10.05	106.667
10.1	130
10.15	101.667
10.2	101.667
10.25	138.333
10.3	120
10.35	115
10.4	118.333
10.45	138.333
10.5	98.3333
10.55	95
10.6	116.667
10.65	90
10.7	101.667
10.75	83.3333
